index_latest,countryiso3code,real_rate_year_latest,real_rate_latest,index_prev,real_rate_year_prev,real_rate_prev,real_rate_momentum,policy_score
312,KGZ,2024,14.3627713330477,313.0,2023.0,-0.62851558198204,14.99128691502974,95.44444444444443
422,RWA,2024,11.8102747347704,423.0,2023.0,3.67012650683346,8.14014822793694,93.11111111111111
436,SYC,2024,10.6318504952186,437.0,2023.0,5.2264468143974,5.4054036808212,89.22222222222221
516,VUT,2024,9.50023378536386,517.0,2023.0,-4.39312379035643,13.893357575720291,88.44444444444443
114,ARM,2024,11.8504108518486,115.0,2023.0,9.45938580289314,2.391025048955461,85.88888888888889
335,MDG,2023,42.9145487450899,,,,,82.6111111111111
210,DOM,2024,10.5296287637713,211.0,2023.0,8.17430344772042,2.3553253160508785,82.44444444444443
268,HND,2024,10.3691964511155,269.0,2023.0,7.87488227031588,2.494314180799619,82.33333333333333
340,MDV,2024,10.7996305986051,341.0,2023.0,9.61638607665648,1.1832445219486196,81.99999999999999
258,GTM,2024,8.42792364096496,259.0,2023.0,5.08880427310201,3.339119367862949,80.44444444444444
403,PNG,2023,13.2597087116597,,,,,79.5
224,SWZ,2024,7.90435665937083,225.0,2023.0,4.68250348998864,3.2218531693821895,78.55555555555554
514,UZB,2024,8.59082214072238,515.0,2023.0,7.31578258221995,1.2750395585024306,76.88888888888887
150,BRA,2024,35.0941068020684,151.0,2023.0,36.5544706219779,-1.460363819909496,75.77777777777776
370,NAM,2024,7.46387312940722,371.0,2023.0,4.05994806549804,3.4039250639091794,75.66666666666666
366,MOZ,2024,15.856101325096,367.0,2023.0,17.4723875587909,-1.6162862336948987,74.77777777777776
292,JAM,2024,6.78337431283208,293.0,2023.0,0.36453196083642,6.41884235199566,74.66666666666666
145,BOL,2023,9.19561260406766,,,,,72.5
278,IDN,2024,7.83418010202624,279.0,2023.0,7.28506359442174,0.5491165076044995,71.66666666666666
122,AZE,2024,16.3088883984831,123.0,2023.0,25.6817085152421,-9.372820116759002,71.44444444444443
452,ZAF,2024,7.49369649661923,453.0,2023.0,6.38879358816707,1.1049029084521598,70.77777777777777
460,KNA,2024,6.70191603959302,461.0,2023.0,3.22222582789599,3.4796902116970303,70.55555555555554
504,UKR,2024,6.51047838615099,505.0,2023.0,1.86637148839928,4.64410689775171,70.33333333333333
484,TLS,2024,19.6099783853882,485.0,2023.0,39.8510634454755,-20.241085060087304,69.44444444444443
182,COL,2024,10.0191642080834,183.0,2023.0,13.1631262773687,-3.143962069285301,64.55555555555556
521,VNM,2023,7.08136836215213,,,,,63.166666666666664
332,MAC,2024,5.63500993285833,333.0,2023.0,1.31285938248576,4.32215055037257,63.0
301,KEN,2023,7.05009384854802,,,,,62.38888888888888
162,CPV,2024,5.96549795420791,163.0,2023.0,3.29712450166861,2.6683734525393,62.0
242,GEO,2024,7.90954779207061,243.0,2023.0,10.2601218557843,-2.3505740637136903,61.666666666666664
336,MWI,2024,7.64484209160057,337.0,2023.0,8.74625275910157,-1.101410667500999,60.888888888888886
274,ISL,2024,6.23518964089389,275.0,2023.0,5.42923889681341,0.8059507440804801,60.33333333333333
146,BIH,2024,4.29874693653036,147.0,2023.0,-2.9636115769335,7.262358513463861,58.666666666666664
142,BTN,2024,6.84764427715047,143.0,2023.0,7.56503855335086,-0.7173942762003893,57.111111111111114
124,BHS,2024,3.95002563934325,125.0,2023.0,-2.2407872885972,6.19081292794045,56.888888888888886
190,CRI,2024,7.28433911177351,191.0,2023.0,9.19254167549845,-1.9082025637249407,56.55555555555555
154,BRN,2024,7.88087303110261,155.0,2023.0,21.0518334075002,-13.170960376397591,56.44444444444445
254,GRD,2024,5.46149407089346,255.0,2023.0,4.13467624560971,1.32681782528375,56.22222222222223
350,MUS,2024,5.31943868833688,351.0,2023.0,2.73065481782378,2.5887838705130997,56.222222222222214
382,NIC,2024,3.6606973506514,383.0,2023.0,-1.17366915033279,4.83436650098419,55.1111111111111
296,JOR,2024,6.45915807449391,297.0,2023.0,6.99859999436972,-0.5394419198758102,54.222222222222214
320,LSO,2024,7.26051018653812,321.0,2023.0,11.4937393718236,-4.233229185285479,53.77777777777778
100,ALB,2024,3.65614960443168,101.0,2023.0,0.269279912716112,3.386869691715568,52.0
462,LCA,2024,5.27404188437758,463.0,2023.0,4.84221250145505,0.4318293829225297,50.77777777777777
102,DZA,2024,6.19457053613983,103.0,2023.0,7.08459692087747,-0.8900263847376397,49.888888888888886
352,MEX,2024,5.99218577958012,353.0,2023.0,6.80354030332584,-0.8113545237457203,49.77777777777777
180,CHN,2024,5.09321925687914,181.0,2023.0,4.88038486696444,0.2128343899146996,49.33333333333333
290,ITA,2024,3.07641012891238,291.0,2023.0,-0.965055481450603,4.041465610362983,47.888888888888886
416,QAT,2024,6.62649870791412,417.0,2023.0,19.1951159468086,-12.568617238894479,47.44444444444444
424,WSM,2024,3.25860466299948,425.0,2023.0,0.213359837131136,3.0452448258683438,47.11111111111111
388,MKD,2024,2.89863642675811,389.0,2023.0,-2.15811412671751,5.05675055347562,46.888888888888886
362,MNE,2024,2.53982089432885,363.0,2023.0,-3.79759139792422,6.33741229225307,46.333333333333336
392,NOR,2024,6.36520146737144,393.0,2023.0,18.4261670595293,-12.060965592157858,45.44444444444444
241,GMB,2023,4.45329653644134,,,,,45.27777777777777
310,KWT,2024,5.94760650401073,311.0,2023.0,14.1330323770351,-8.18542587302437,42.22222222222222
512,URY,2024,5.39595354590034,513.0,2023.0,8.20235085906623,-2.806397313165891,40.333333333333336
