index_latest,countryiso3code,infl_year_latest,infl_latest,index_prev,infl_year_prev,infl_prev,infl_momentum,infl_score
458,LKA,2024,-0.42936004906972,459.0,2023.0,16.5411742279832,-16.97053427705292,97.24770642201833
282,IRQ,2024,-12.2969837587007,283.0,2023.0,4.35835351089588,-16.65533726959658,97.24770642201833
130,BRB,2024,-0.462229168356189,131.0,2023.0,9.79207077126447,-10.254299939620658,96.42201834862384
328,LTU,2024,0.715735835228697,329.0,2023.0,9.11731962390473,-8.401583788676033,92.3394495412844
462,LCA,2024,-0.110283575834663,463.0,2023.0,4.070608219262,-4.180891795096663,90.22935779816513
432,SEN,2024,0.804503298792415,433.0,2023.0,5.93947798773216,-5.134974688939745,88.30275229357798
490,TTO,2024,0.526884625776817,491.0,2023.0,4.62930242419965,-4.102417798422833,87.70642201834863
316,LVA,2024,1.26579885828729,317.0,2023.0,8.93804623316639,-7.672247374879099,87.0183486238532
364,MAR,2024,0.985256592004508,365.0,2023.0,6.09114152504136,-5.105884933036852,86.74311926605503
482,THA,2024,1.3658054079804,483.0,2023.0,8.47805174421546,-7.11224633623506,86.23853211009174
290,ITA,2024,0.98237302306138,291.0,2023.0,5.62219442195906,-4.63982139889768,86.10091743119266
124,BHS,2024,0.409162489083242,125.0,2023.0,3.05291578969747,-2.643753300614228,84.44954128440365
422,RWA,2024,1.77029240198634,423.0,2023.0,19.789546746467,-18.01925434448066,84.40366972477062
426,SMR,2024,1.24216507945573,427.0,2023.0,5.93190858629402,-4.68974350683829,83.62385321100918
216,SLV,2024,0.853782292567271,217.0,2023.0,4.04554694222478,-3.1917646496575087,83.44036697247705
98,AFG,2024,-6.60118564073727,99.0,2023.0,-4.64470870797776,-1.9564769327595108,81.14678899082567
232,FIN,2024,1.5656890623162,233.0,2023.0,6.25064322154762,-4.68495415923142,80.59633027522935
114,ARM,2024,0.269511978259078,115.0,2023.0,1.98041877615558,-1.710906797896502,79.77064220183485
162,CPV,2024,1.04817001091962,163.0,2023.0,3.72437517668746,-2.67620516576784,79.40366972477064
446,SVN,2024,1.96562656432507,447.0,2023.0,7.44687717385836,-5.481250609533291,78.57798165137615
484,TLS,2024,2.06284153005467,485.0,2023.0,8.42035103310375,-6.357509503049079,78.5091743119266
146,BIH,2024,1.69212733599721,147.0,2023.0,6.10590112848281,-4.413773792485601,78.30275229357798
344,MLT,2024,1.65079469283108,345.0,2023.0,5.09396758978879,-3.4431728969577104,77.3394495412844
308,XKX,2024,1.61944994559479,309.0,2023.0,4.94432438791278,-3.32487444231799,77.24770642201835
398,PLW,2024,2.23172772921704,399.0,2023.0,12.8199748216534,-10.58824709243636,77.17889908256879
402,PNG,2024,0.602403921107926,403.0,2023.0,2.29869991296791,-1.6962959918599843,76.74311926605505
460,KNA,2024,1.09538753034508,461.0,2023.0,3.55711230848244,-2.46172477813736,76.37614678899084
190,CRI,2024,-0.412853001047083,191.0,2023.0,0.525193508693476,-0.938046509740559,75.91743119266053
406,PER,2024,2.00770739412715,407.0,2023.0,6.45561348369583,-4.447906089568679,75.87155963302752
424,WSM,2024,2.17245530514378,425.0,2023.0,7.92164684826778,-5.749191543124001,75.41284403669724
238,GAB,2024,1.17311998381216,239.0,2023.0,3.62901534185377,-2.45589535804161,75.13761467889908
122,AZE,2024,2.21217188919901,123.0,2023.0,8.78543049849081,-6.573258609291799,74.95412844036697
154,BRN,2024,-0.388674165036466,155.0,2023.0,0.35706431153695,-0.7457384765734161,74.81651376146787
284,IRL,2024,2.11344999577319,285.0,2023.0,6.29942487419122,-4.18597487841803,73.348623853211
254,GRD,2024,1.08615365134744,255.0,2023.0,2.6961226981456,-1.60996904679816,73.11926605504587
202,CZE,2024,2.43531202435312,203.0,2023.0,10.6612601372426,-8.22594811288948,73.09633027522935
180,CHN,2024,0.218128938439166,181.0,2023.0,0.23483682889306,-0.01670789045389401,72.47706422018346
138,BEN,2024,1.16093089640415,139.0,2023.0,2.73870078406076,-1.57776988765661,72.01834862385321
400,PAN,2024,0.693225551004513,401.0,2023.0,1.48641355277038,-0.7931880017658669,71.88073394495413
204,DNK,2024,1.37220049768919,205.0,2023.0,3.30517811237605,-1.93297761468686,71.88073394495413
416,QAT,2024,1.26734310292379,417.0,2023.0,3.02764899198904,-1.7603058890652499,71.8348623853211
234,FRA,2024,1.99904942291464,235.0,2023.0,4.87835726508438,-2.8793078421697396,71.65137614678899
74,OSS,2024,2.06284153005467,75.0,2023.0,5.09396758978879,-3.0311260597341203,71.35321100917432
156,BGR,2024,2.44651943006078,157.0,2023.0,9.44284140088566,-6.99632197082488,71.3302752293578
242,GEO,2024,1.10971758022096,243.0,2023.0,2.48776056578715,-1.3780429855661902,70.82568807339449
394,OMN,2024,0.593589236248421,395.0,2023.0,0.950782997762896,-0.357193761514475,70.59633027522935
474,CHE,2024,1.06234041976597,475.0,2023.0,2.13540088016377,-1.0730604603978,70.55045871559633
6,CSS,2024,1.84256311073283,7.0,2023.0,4.47720868651286,-2.63464557578003,70.5045871559633
18,EMU,2024,2.18497406958038,19.0,2023.0,5.78431554960867,-3.59934148002829,70.36697247706422
333,MAC,2023,0.476384495788051,,,,,69.86238532110092
16,TEA,2024,2.23172772921704,17.0,2023.0,6.16457747898299,-3.93284974976595,69.74770642201834
436,SYC,2024,0.311726050919631,437.0,2023.0,-1.03530088431951,1.3470269352391409,69.58715596330273
340,MDV,2024,1.39979779674922,341.0,2023.0,2.92746542425037,-1.5276676275011503,69.35779816513761
